Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25995420,-12.41,7.75,313.7,0.00,-56.3,318.7,0.0
25995430,-12.40,7.66,313.0,0.00,-55.5,317.9,0.0
25995440,-12.37,7.65,311.5,0.00,-55.2,316.4,0.0
25995450,-12.35,7.50,310.9,0.00,-54.1,315.5,0.0
25995460,-12.33,7.42,310.2,0.00,-53.4,314.8,0.0
25995470,-12.27,7.35,307.5,0.00,-52.5,311.9,0.0
25995480,-12.25,7.34,306.3,0.00,-52.3,310.8,0.0
25995490,-12.23,7.32,305.3,0.00,-52.1,309.7,0.0
25995500,-12.23,7.16,305.6,0.00,-51.0,309.8,0.0
25995510,-12.16,7.18,302.3,0.00,-50.7,306.5,0.0
25995520,-12.16,7.12,302.3,0.00,-50.2,306.4,0.0
25995530,-12.11,7.06,300.1,0.00,-49.6,304.1,0.0
25995540,-12.10,6.91,299.7,0.00,-48.5,303.6,0.0
25995550,-12.08,6.84,298.8,0.00,-47.8,302.6,0.0
25995560,-12.05,6.87,297.8,0.00,-47.9,301.6,0.0
25995570,-12.01,6.80,295.6,0.00,-47.2,299.3,0.0
25995580,-12.01,6.68,295.8,0.00,-46.3,299.4,0.0
25995590,-11.98,6.61,294.6,0.00,-45.8,298.1,0.0
25995600,-11.90,6.55,291.1,0.00,-44.9,294.6,0.0
25995610,-11.89,6.46,290.5,0.00,-44.2,293.9,0.0
25995620,-11.86,6.42,289.4,0.00,-43.8,292.7,0.0
25995630,-11.84,6.31,288.3,0.00,-42.9,291.5,0.0
25995640,-11.79,6.17,286.3,0.00,-41.7,289.4,0.0
25995650,-11.76,6.16,285.1,0.00,-41.6,288.1,0.0
25995660,-11.75,6.08,284.7,0.00,-41.0,287.6,0.0
25995670,-11.72,6.05,283.4,0.00,-40.6,286.3,0.0
25995680,-11.68,5.95,281.6,0.00,-39.8,284.4,0.0
25995690,-11.68,5.83,281.8,0.00,-39.0,284.4,0.0
25995700,-11.67,5.72,281.3,0.00,-38.2,283.9,0.0
25995710,-11.60,5.69,278.5,0.00,-37.7,281.0,0.0
