Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25998550,-4.15,-66.81,-36.5,0.00,148.2,152.6,0.0
25998560,-4.11,-67.73,-39.1,0.00,148.6,153.7,0.0
25998570,-4.09,-68.47,-41.2,0.00,149.0,154.6,0.0
25998580,-4.07,-69.29,-43.5,0.00,149.4,155.6,0.0
25998590,-4.03,-69.40,-44.1,0.00,148.8,155.2,0.0
25998600,-4.00,-70.36,-46.7,0.00,149.3,156.5,0.0
25998610,-3.98,-70.98,-48.5,0.00,149.4,157.1,0.0
25998620,-3.95,-71.67,-50.4,0.00,149.6,157.9,0.0
25998630,-3.92,-71.54,-50.3,0.00,148.9,157.2,0.0
25998640,-3.90,-72.24,-52.2,0.00,149.2,158.1,0.0
25998650,-3.87,-73.49,-55.6,0.00,149.7,159.7,0.0
25998660,-3.86,-74.45,-58.2,0.00,150.2,161.1,0.0
25998670,-3.84,-74.67,-58.9,0.00,150.0,161.1,0.0
25998680,-3.82,-74.86,-59.4,0.00,149.9,161.2,0.0
25998690,-3.79,-75.10,-60.2,0.00,149.5,161.2,0.0
25998700,-3.78,-75.73,-61.9,0.00,149.7,162.0,0.0
25998710,-3.76,-76.34,-63.6,0.00,149.9,162.8,0.0
25998720,-3.75,-77.58,-66.9,0.00,150.4,164.6,0.0
25998730,-3.74,-77.38,-66.4,0.00,150.0,164.1,0.0
25998740,-3.73,-77.92,-67.9,0.00,150.2,164.9,0.0
25998750,-3.71,-78.19,-68.6,0.00,150.1,165.0,0.0
25998760,-3.71,-79.58,-72.3,0.00,150.7,167.1,0.0
25998770,-3.70,-80.50,-74.7,0.00,151.0,168.5,0.0
25998780,-3.69,-80.76,-75.4,0.00,150.9,168.7,0.0
25998790,-3.69,-80.75,-75.4,0.00,150.9,168.7,0.0
25998800,-3.67,-81.79,-78.2,0.00,151.1,170.1,0.0
25998810,-3.68,-81.65,-77.8,0.00,151.2,170.0,0.0
25998820,-3.66,-83.62,-83.1,0.00,151.5,172.8,0.0
25998830,-3.68,-83.19,-81.9,0.00,151.6,172.3,0.0
25998840,-3.68,-83.16,-81.8,0.00,151.7,172.4,0.0
25998850,-3.68,-83.99,-84.0,0.00,151.9,173.6,0.0
25998860,-3.68,-84.71,-85.9,0.00,152.2,174.7,0.0
25998870,-3.69,-85.43,-87.8,0.00,152.5,176.0,0.0
25998880,-3.69,-86.04,-89.4,0.00,152.5,176.8,0.0
25998890,-3.72,-85.46,-87.9,0.00,153.0,176.4,0.0
25998900,-3.71,-86.66,-91.1,0.00,153.0,178.1,0.0
25998910,-3.73,-87.14,-92.3,0.00,153.5,179.1,0.0
25998920,-3.74,-87.69,-93.8,0.00,153.7,180.0,0.0
25998930,-3.73,-88.69,-96.5,0.00,153.6,181.4,0.0
25998940,-3.74,-89.46,-98.6,0.00,153.8,182.6,0.0
25998950,-3.75,-89.66,-99.1,0.00,154.1,183.2,0.0
25998960,-3.81,-89.29,-98.1,0.00,155.0,183.4,0.0
25998970,-3.82,-89.70,-99.2,0.00,155.3,184.3,0.0
25998980,-3.82,-90.90,-97.6,0.00,-155.2,183.3,0.0
25998990,-3.82,-91.61,-95.6,0.00,-155.2,182.3,0.0
25999000,-3.86,-91.86,-95.0,0.00,-155.9,182.5,0.0
25999010,-3.89,-92.06,-94.4,0.00,-156.3,182.6,0.0
25999020,-3.88,-93.08,-91.6,0.00,-156.2,181.1,0.0
25999030,-3.95,-92.54,-93.0,0.00,-157.5,182.9,0.0
25999040,-3.92,-94.23,-88.4,0.00,-156.6,179.8,0.0
25999050,-3.99,-94.12,-88.6,0.00,-157.8,181.0,0.0
25999060,-4.01,-94.57,-87.4,0.00,-158.1,180.6,0.0
25999070,-4.04,-94.58,-87.3,0.00,-158.7,181.1,0.0
25999080,-4.03,-95.90,-83.6,0.00,-158.3,179.0,0.0
25999090,-4.11,-95.32,-85.1,0.00,-159.9,181.1,0.0
25999100,-4.11,-96.75,-81.1,0.00,-159.3,178.8,0.0
25999110,-4.18,-96.25,-82.4,0.00,-160.8,180.7,0.0
25999120,-4.17,-97.52,-78.9,0.00,-160.2,178.5,0.0
25999130,-4.24,-97.03,-80.1,0.00,-161.7,180.4,0.0
25999140,-4.26,-97.96,-77.4,0.00,-161.6,179.2,0.0
25999150,-4.27,-98.52,-75.8,0.00,-161.8,178.6,0.0
25999160,-4.31,-98.80,-74.9,0.00,-162.3,178.8,0.0
25999170,-4.36,-99.01,-74.1,0.00,-163.2,179.2,0.0
25999180,-4.41,-99.38,-72.9,0.00,-164.0,179.5,0.0
25999190,-4.47,-99.47,-72.5,0.00,-165.0,180.2,0.0
25999200,-4.50,-100.06,-70.7,0.00,-165.2,179.7,0.0
25999210,-4.52,-100.70,-68.8,0.00,-165.4,179.1,0.0
25999220,-4.53,-101.51,-66.4,0.00,-165.1,178.0,0.0
25999230,-4.63,-101.37,-66.4,0.00,-167.0,179.7,0.0
25999240,-4.67,-101.56,-65.7,0.00,-167.7,180.1,0.0
25999250,-4.68,-102.42,-63.2,0.00,-167.3,178.9,0.0
25999260,-4.71,-103.21,-60.7,0.00,-167.4,178.1,0.0
25999270,-4.76,-103.35,-60.1,0.00,-168.3,178.7,0.0
25999280,-4.82,-103.36,-59.7,0.00,-169.5,179.8,0.0
25999290,-4.82,-104.31,-56.9,0.00,-168.8,178.1,0.0
25999300,-4.90,-104.18,-56.9,0.00,-170.5,179.7,0.0
25999310,-4.98,-104.52,-55.5,0.00,-171.7,180.5,0.0
25999320,-4.98,-105.36,-53.0,0.00,-171.1,179.2,0.0
25999330,-5.02,-105.73,-51.7,0.00,-171.6,179.2,0.0
25999340,-5.10,-105.78,-51.1,0.00,-173.1,180.5,0.0
25999350,-5.11,-106.59,-48.6,0.00,-172.6,179.3,0.0
25999360,-5.17,-106.92,-47.2,0.00,-173.4,179.8,0.0
25999370,-5.22,-107.11,-46.3,0.00,-174.4,180.4,0.0
25999380,-5.26,-107.50,-44.9,0.00,-174.7,180.3,0.0
25999390,-5.33,-107.56,-44.3,0.00,-176.1,181.6,0.0
25999400,-5.37,-108.37,-41.5,0.00,-176.0,180.9,0.0
25999410,-5.44,-108.31,-41.2,0.00,-177.7,182.4,0.0
25999420,-5.46,-108.99,-39.0,0.00,-177.3,181.6,0.0
25999430,-5.50,-109.34,-37.6,0.00,-177.8,181.8,0.0
25999440,-5.58,-109.68,-36.0,0.00,-179.1,182.7,0.0
25999450,-5.61,-110.13,-34.3,0.00,-179.1,182.4,0.0
25999460,-5.66,-110.49,-32.8,0.00,-179.8,182.8,0.0
25999470,-5.73,-110.77,-31.4,0.00,-180.8,183.5,0.0
25999480,-5.77,-111.06,-30.2,0.00,-181.3,183.8,0.0
25999490,-5.84,-111.50,-28.2,0.00,-182.2,184.3,0.0
25999500,-5.89,-111.78,-26.9,0.00,-183.0,184.9,0.0
25999510,-5.94,-112.13,-25.4,0.00,-183.5,185.3,0.0
25999520,-5.99,-112.41,-24.0,0.00,-184.3,185.9,0.0
25999530,-6.05,-112.75,-22.4,0.00,-185.0,186.4,0.0
25999540,-6.12,-113.14,-20.5,0.00,-186.1,187.2,0.0
25999550,-6.16,-113.47,-19.0,0.00,-186.5,187.4,0.0
25999560,-6.21,-113.76,-17.6,0.00,-187.1,188.0,0.0
25999570,-6.27,-114.24,-15.5,0.00,-187.7,188.4,0.0
25999580,-6.32,-114.58,-13.9,0.00,-188.2,188.7,0.0
25999590,-6.37,-114.86,-12.4,0.00,-188.9,189.4,0.0
25999600,-6.43,-115.19,-10.8,0.00,-189.7,190.0,0.0
25999610,-6.49,-115.44,-9.3,0.00,-190.5,190.8,0.0
25999620,-6.56,-115.71,-7.7,0.00,-191.7,191.9,0.0
25999630,-6.61,-116.15,-5.7,0.00,-192.1,192.2,0.0
25999640,-6.67,-116.28,-4.6,0.00,-193.3,193.3,0.0
25999650,-6.70,-116.73,-2.7,0.00,-193.2,193.2,0.0
25999660,-6.80,-117.16,-0.2,0.00,-194.5,194.5,0.0
25999670,-6.83,-117.37,0.9,0.00,-195.0,195.0,0.0
25999680,-6.90,-117.63,2.6,0.00,-196.0,196.0,0.0
25999690,-6.95,-118.14,4.9,0.00,-196.2,196.3,0.0
25999700,-6.99,-118.33,6.1,0.00,-196.8,196.9,0.0
25999710,-7.08,-118.69,8.4,0.00,-198.1,198.3,0.0
25999720,-7.11,-118.98,9.9,0.00,-198.4,198.6,0.0
25999730,-7.19,-119.21,11.6,0.00,-199.7,200.1,0.0
25999740,-7.26,-119.35,13.0,0.00,-201.0,201.4,0.0
25999750,-7.31,-119.91,15.6,0.00,-201.0,201.6,0.0
25999760,-7.41,-119.96,17.2,0.00,-203.3,204.1,0.0
25999770,-7.41,-120.53,19.2,0.00,-202.2,203.1,0.0
25999780,-7.46,-120.66,20.4,0.00,-203.0,204.1,0.0
25999790,-7.58,-120.88,22.8,0.00,-205.4,206.6,0.0
25999800,-7.66,-121.06,24.6,0.00,-206.9,208.4,0.0
25999810,-7.68,-121.39,26.2,0.00,-206.8,208.4,0.0
25999820,-7.71,-121.85,28.3,0.00,-206.4,208.3,0.0
25999830,-7.76,-122.19,30.1,0.00,-206.7,208.9,0.0
25999840,-7.84,-122.49,32.5,0.00,-208.0,210.5,0.0
25999850,-7.89,-122.76,34.2,0.00,-208.6,211.4,0.0
25999860,-7.99,-122.68,35.5,0.00,-211.2,214.1,0.0
25999870,-8.02,-122.95,37.0,0.00,-211.3,214.5,0.0
25999880,-8.13,-123.14,39.5,0.00,-213.6,217.2,0.0
25999890,-8.13,-123.80,41.9,0.00,-212.0,216.1,0.0
25999900,-8.18,-124.06,43.5,0.00,-212.4,216.8,0.0
25999910,-8.29,-123.89,44.8,0.00,-215.5,220.1,0.0
25999920,-8.31,-124.30,46.7,0.00,-215.0,220.0,0.0
25999930,-8.40,-124.65,49.5,0.00,-216.3,221.9,0.0
25999940,-8.46,-124.79,51.1,0.00,-217.5,223.5,0.0
25999950,-8.48,-125.16,52.9,0.00,-217.0,223.4,0.0
25999960,-8.54,-125.45,55.0,0.00,-217.7,224.5,0.0
25999970,-8.63,-125.63,57.4,0.00,-219.6,227.0,0.0
25999980,-8.68,-125.74,58.6,0.00,-220.4,228.0,0.0
25999990,-8.71,-126.28,61.4,0.00,-219.9,228.3,0.0
26000000,-8.77,-126.33,62.6,0.00,-221.1,229.8,0.0
26000010,-8.86,-126.37,64.5,0.00,-223.4,232.5,0.0
26000020,-8.88,-126.98,67.2,0.00,-222.1,232.0,0.0
26000030,-8.93,-127.25,69.2,0.00,-222.6,233.1,0.0
26000040,-9.02,-127.20,70.9,0.00,-225.1,236.0,0.0
26000050,-9.10,-127.25,72.6,0.00,-227.0,238.3,0.0
26000060,-9.16,-127.64,75.2,0.00,-227.2,239.3,0.0
26000070,-9.21,-127.85,77.1,0.00,-228.0,240.7,0.0
26000080,-9.22,-128.21,78.8,0.00,-227.1,240.4,0.0
26000090,-9.31,-128.12,80.4,0.00,-229.9,243.5,0.0
26000100,-9.35,-128.62,83.2,0.00,-229.3,243.9,0.0
26000110,-9.40,-128.80,84.9,0.00,-230.0,245.1,0.0
26000120,-9.47,-128.95,87.0,0.00,-231.3,247.2,0.0
26000130,-9.54,-129.01,88.7,0.00,-233.0,249.3,0.0
26000140,-9.60,-129.24,91.0,0.00,-233.9,251.0,0.0
26000150,-9.64,-129.44,92.8,0.00,-234.3,252.0,0.0
26000160,-9.69,-129.60,94.5,0.00,-235.2,253.4,0.0
26000170,-9.76,-129.80,96.8,0.00,-236.2,255.3,0.0
26000180,-9.81,-130.02,98.9,0.00,-236.8,256.6,0.0
26000190,-9.86,-130.36,101.4,0.00,-237.0,257.8,0.0
26000200,-9.90,-130.50,103.1,0.00,-237.8,259.2,0.0
26000210,-9.98,-130.55,105.0,0.00,-239.7,261.7,0.0
26000220,-10.01,-130.73,106.6,0.00,-239.9,262.5,0.0
26000230,-10.06,-130.89,108.4,0.00,-240.7,263.9,0.0
26000240,-10.11,-131.19,110.8,0.00,-240.9,265.1,0.0
26000250,-10.19,-131.12,112.5,0.00,-243.5,268.2,0.0
26000260,-10.21,-131.36,114.2,0.00,-243.3,268.8,0.0
26000270,-10.26,-131.62,116.4,0.00,-243.6,270.0,0.0
26000280,-10.34,-131.72,118.7,0.00,-245.3,272.5,0.0
26000290,-10.38,-131.94,120.7,0.00,-245.6,273.7,0.0
26000300,-10.43,-131.96,122.1,0.00,-247.0,275.5,0.0
26000310,-10.46,-132.21,124.0,0.00,-246.9,276.3,0.0
26000320,-10.54,-132.39,126.8,0.00,-248.4,278.9,0.0
26000330,-10.56,-132.58,128.2,0.00,-248.3,279.4,0.0
26000340,-10.61,-132.70,130.1,0.00,-249.4,281.3,0.0
26000350,-10.65,-132.90,132.1,0.00,-249.7,282.5,0.0
26000360,-10.72,-132.90,133.8,0.00,-251.5,284.9,0.0
26000370,-10.77,-133.02,135.7,0.00,-252.6,286.7,0.0
26000380,-10.81,-133.19,137.7,0.00,-253.2,288.2,0.0
26000390,-10.85,-133.35,139.4,0.00,-253.6,289.4,0.0
26000400,-10.90,-133.39,141.0,0.00,-254.9,291.3,0.0
26000410,-10.95,-133.61,143.4,0.00,-255.5,293.0,0.0
26000420,-10.99,-133.56,144.3,0.00,-256.9,294.6,0.0
26000430,-11.04,-133.74,146.4,0.00,-257.5,296.2,0.0
26000440,-11.05,-134.00,147.9,0.00,-256.7,296.3,0.0
26000450,-11.13,-133.94,150.0,0.00,-259.4,299.6,0.0
26000460,-11.16,-134.33,152.5,0.00,-258.4,300.1,0.0
26000470,-11.24,-134.20,154.2,0.00,-261.4,303.5,0.0
26000480,-11.26,-134.38,155.7,0.00,-261.3,304.2,0.0
26000490,-11.31,-134.42,157.3,0.00,-262.6,306.1,0.0
26000500,-11.34,-134.57,158.9,0.00,-262.8,307.1,0.0
26000510,-11.39,-134.69,160.9,0.00,-263.7,308.9,0.0
26000520,-11.41,-134.80,162.2,0.00,-264.0,309.9,0.0
26000530,-11.48,-134.83,164.4,0.00,-266.0,312.7,0.0
26000540,-11.51,-134.92,165.8,0.00,-266.5,313.9,0.0
26000550,-11.57,-135.07,168.1,0.00,-267.5,315.9,0.0
26000560,-11.60,-135.15,169.5,0.00,-268.0,317.1,0.0
26000570,-11.61,-135.36,170.9,0.00,-267.5,317.5,0.0
26000580,-11.63,-135.47,171.9,0.00,-267.5,318.0,0.0
26000590,-11.75,-135.29,174.8,0.00,-272.1,323.4,0.0
26000600,-11.78,-135.42,176.5,0.00,-272.5,324.7,0.0
26000610,-11.79,-135.63,177.9,0.00,-271.8,324.9,0.0
26000620,-11.86,-135.62,179.9,0.00,-273.9,327.7,0.0
26000630,-11.90,-135.77,181.8,0.00,-274.4,329.2,0.0
26000640,-11.94,-135.84,183.6,0.00,-275.4,331.0,0.0
26000650,-11.92,-136.02,183.7,0.00,-273.8,329.7,0.0
26000660,-12.01,-135.90,186.1,0.00,-277.2,333.9,0.0
26000670,-12.05,-135.98,187.8,0.00,-278.1,335.6,0.0
26000680,-12.10,-136.03,189.9,0.00,-279.7,338.1,0.0
26000690,-12.12,-136.13,191.1,0.00,-279.8,338.9,0.0
26000700,-12.17,-136.24,193.2,0.00,-280.8,340.8,0.0
26000710,-12.16,-136.49,194.2,0.00,-279.3,340.1,0.0
26000720,-12.19,-136.53,195.4,0.00,-280.1,341.5,0.0
26000730,-12.24,-136.61,197.4,0.00,-281.1,343.5,0.0
26000740,-12.31,-136.45,199.1,0.00,-284.3,347.1,0.0
26000750,-12.32,-136.64,200.4,0.00,-283.7,347.4,0.0
26000760,-12.36,-136.72,202.0,0.00,-284.3,348.8,0.0
26000770,-12.41,-136.64,203.6,0.00,-286.7,351.6,0.0
26000780,-12.41,-136.87,204.6,0.00,-285.4,351.1,0.0
26000790,-12.42,-137.01,205.8,0.00,-285.1,351.6,0.0
26000800,-12.48,-136.98,207.5,0.00,-287.0,354.2,0.0
26000810,-12.57,-136.84,210.0,0.00,-290.6,358.5,0.0
26000820,-12.60,-136.90,211.4,0.00,-291.3,359.9,0.0
26000830,-12.60,-137.07,212.2,0.00,-290.4,359.7,0.0
26000840,-12.64,-137.19,214.3,0.00,-291.1,361.4,0.0
26000850,-12.71,-137.12,216.6,0.00,-294.1,365.3,0.0
26000860,-12.72,-137.21,217.4,0.00,-293.9,365.6,0.0
26000870,-12.71,-137.42,218.2,0.00,-292.4,364.8,0.0
26000880,-12.74,-137.47,219.3,0.00,-292.9,365.9,0.0
26000890,-12.78,-137.47,220.8,0.00,-294.3,367.9,0.0
26000900,-12.83,-137.46,222.6,0.00,-296.0,370.4,0.0
26000910,-12.92,-137.25,225.1,0.00,-300.5,375.5,0.0
26000920,-12.90,-137.63,226.3,0.00,-297.7,374.0,0.0
26000930,-12.95,-137.51,227.4,0.00,-299.9,376.4,0.0
26000940,-12.96,-137.60,228.4,0.00,-299.9,377.0,0.0
26000950,-13.00,-137.61,229.8,0.00,-301.0,378.7,0.0
26000960,-13.05,-137.56,231.4,0.00,-303.1,381.3,0.0
26000970,-13.06,-137.69,232.5,0.00,-302.6,381.6,0.0
26000980,-13.09,-137.78,234.1,0.00,-303.1,383.0,0.0
26000990,-13.15,-137.78,236.4,0.00,-305.2,386.1,0.0
26001000,-13.14,-137.93,237.1,0.00,-304.3,385.7,0.0
26001010,-13.22,-137.87,239.9,0.00,-307.4,389.9,0.0
26001020,-13.24,-137.90,240.9,0.00,-308.0,391.0,0.0
26001030,-13.26,-138.08,242.3,0.00,-307.3,391.4,0.0
26001040,-13.27,-138.08,242.9,0.00,-307.9,392.1,0.0
26001050,-13.30,-138.21,244.8,0.00,-308.2,393.5,0.0
26001060,-13.35,-138.06,246.1,0.00,-310.9,396.5,0.0
26001070,-13.40,-138.03,247.9,0.00,-313.0,399.2,0.0
26001080,-13.41,-138.22,249.1,0.00,-311.9,399.2,0.0
26001090,-13.45,-138.17,250.6,0.00,-313.8,401.6,0.0
26001100,-13.46,-138.30,251.5,0.00,-313.2,401.7,0.0
26001110,-13.51,-138.22,253.1,0.00,-315.6,404.5,0.0
26001120,-13.54,-138.22,254.4,0.00,-316.7,406.2,0.0
26001130,-13.55,-138.41,255.8,0.00,-315.8,406.4,0.0
26001140,-13.61,-138.36,258.0,0.00,-318.3,409.7,0.0
26001150,-13.62,-138.42,258.9,0.00,-318.4,410.4,0.0
26001160,-13.66,-138.35,260.2,0.00,-320.4,412.7,0.0
26001170,-13.66,-138.53,261.2,0.00,-319.3,412.6,0.0
26001180,-13.68,-138.60,262.5,0.00,-319.5,413.5,0.0
26001190,-13.70,-138.60,263.2,0.00,-320.2,414.5,0.0
26001200,-13.77,-138.54,265.6,0.00,-323.0,418.2,0.0
26001210,-13.79,-138.60,266.8,0.00,-323.4,419.2,0.0
26001220,-13.80,-138.73,268.1,0.00,-323.1,419.8,0.0
26001230,-13.83,-138.73,269.3,0.00,-324.1,421.4,0.0
26001240,-13.86,-138.58,269.7,0.00,-326.2,423.2,0.0
26001250,-13.90,-138.69,272.3,0.00,-327.2,425.7,0.0
26001260,-13.95,-138.67,274.2,0.00,-329.1,428.4,0.0
26001270,-13.95,-138.85,275.1,0.00,-327.7,427.9,0.0
26001280,-14.00,-138.69,276.5,0.00,-330.9,431.3,0.0
26001290,-14.00,-138.82,277.2,0.00,-329.9,430.9,0.0
26001300,-14.02,-138.91,278.6,0.00,-330.1,432.0,0.0
26001310,-14.06,-138.96,280.8,0.00,-331.4,434.4,0.0
26001320,-14.08,-138.94,281.5,0.00,-332.4,435.5,0.0
26001330,-14.11,-139.01,283.3,0.00,-333.1,437.3,0.0
26001340,-14.14,-138.90,283.7,0.00,-334.7,438.8,0.0
26001350,-14.18,-138.98,286.1,0.00,-335.8,441.2,0.0
26001360,-14.19,-139.05,286.8,0.00,-335.6,441.4,0.0
26001370,-14.22,-139.04,288.2,0.00,-336.9,443.4,0.0
26001380,-14.26,-139.11,290.5,0.00,-338.1,445.7,0.0
26001390,-14.27,-139.13,290.9,0.00,-338.2,446.1,0.0
26001400,-14.31,-139.18,293.3,0.00,-339.7,448.8,0.0
26001410,-14.32,-139.22,293.9,0.00,-339.8,449.3,0.0
26001420,-14.36,-139.28,295.8,0.00,-340.6,451.1,0.0
26001430,-14.38,-139.26,296.8,0.00,-341.8,452.6,0.0
26001440,-14.40,-139.31,298.1,0.00,-342.3,453.9,0.0
26001450,-14.44,-139.31,299.8,0.00,-343.8,456.1,0.0
26001460,-14.46,-139.32,300.7,0.00,-344.4,457.1,0.0
26001470,-14.49,-139.39,302.6,0.00,-345.2,459.0,0.0
26001480,-14.51,-139.38,303.6,0.00,-346.1,460.4,0.0
26001490,-14.54,-139.49,305.5,0.00,-346.5,462.0,0.0
26001500,-14.55,-139.38,305.2,0.00,-347.5,462.5,0.0
26001510,-14.59,-139.57,308.5,0.00,-348.0,465.1,0.0
26001520,-14.63,-139.61,310.4,0.00,-349.1,467.1,0.0
26001530,-14.65,-139.56,311.0,0.00,-350.3,468.5,0.0
26001540,-14.67,-139.55,312.1,0.00,-351.4,470.0,0.0
26001550,-14.71,-139.61,314.0,0.00,-352.3,471.9,0.0
26001560,-14.72,-139.66,314.9,0.00,-352.3,472.5,0.0
26001570,-14.76,-139.78,317.5,0.00,-353.1,474.8,0.0
26001580,-14.77,-139.67,317.5,0.00,-354.4,475.9,0.0
26001590,-14.80,-139.68,318.8,0.00,-355.5,477.5,0.0
26001600,-14.81,-139.83,320.6,0.00,-355.1,478.4,0.0
26001610,-14.87,-139.85,323.6,0.00,-357.4,482.1,0.0
26001620,-14.87,-139.92,323.8,0.00,-356.6,481.7,0.0
26001630,-14.91,-139.93,326.0,0.00,-358.3,484.5,0.0
26001640,-14.93,-139.89,326.5,0.00,-359.3,485.5,0.0
26001650,-14.95,-139.94,327.9,0.00,-359.8,486.8,0.0
26001660,-14.99,-140.04,330.4,0.00,-360.7,489.1,0.0
26001670,-15.00,-140.08,331.5,0.00,-361.1,490.2,0.0
26001680,-15.02,-140.12,332.4,0.00,-361.3,490.9,0.0
26001690,-15.05,-140.08,333.8,0.00,-362.9,493.1,0.0
26001700,-15.07,-140.22,335.8,0.00,-362.9,494.4,0.0
26001710,-15.13,-140.08,337.6,0.00,-366.2,498.1,0.0
26001720,-15.14,-140.20,338.8,0.00,-365.7,498.5,0.0
26001730,-15.17,-140.18,340.4,0.00,-367.2,500.7,0.0
26001740,-15.20,-140.21,341.9,0.00,-368.2,502.5,0.0
26001750,-15.22,-140.29,343.5,0.00,-368.4,503.7,0.0
26001760,-15.26,-140.31,345.8,0.00,-370.0,506.4,0.0
26001770,-15.28,-140.33,346.8,0.00,-370.6,507.5,0.0
26001780,-15.29,-140.42,348.3,0.00,-370.6,508.6,0.0
26001790,-15.33,-140.44,350.1,0.00,-371.9,510.7,0.0
26001800,-15.34,-140.29,349.8,0.00,-373.6,511.8,0.0
26001810,-15.38,-140.41,352.5,0.00,-374.3,514.2,0.0
26001820,-15.41,-140.53,354.9,0.00,-374.6,516.0,0.0
26001830,-15.43,-140.60,356.4,0.00,-374.9,517.3,0.0
26001840,-15.44,-140.63,357.2,0.00,-375.2,518.0,0.0
26001850,-15.47,-140.64,358.7,0.00,-376.3,519.9,0.0
26001860,-15.49,-140.66,360.3,0.00,-377.3,521.7,0.0
26001870,-15.51,-140.76,361.6,0.00,-377.0,522.4,0.0
26001880,-15.54,-140.78,363.5,0.00,-378.3,524.6,0.0
26001890,-15.57,-140.84,365.7,0.00,-379.3,526.9,0.0
26001900,-15.59,-140.91,367.2,0.00,-379.6,528.1,0.0
26001910,-15.64,-140.93,370.0,0.00,-381.5,531.4,0.0
26001920,-15.63,-140.88,369.2,0.00,-381.6,531.0,0.0
26001930,-15.67,-140.95,371.6,0.00,-382.6,533.4,0.0
26001940,-15.70,-140.96,373.2,0.00,-383.7,535.3,0.0
26001950,-15.69,-141.02,373.3,0.00,-383.0,534.9,0.0
26001960,-15.73,-141.09,376.1,0.00,-384.4,537.8,0.0
26001970,-15.75,-141.10,376.9,0.00,-384.9,538.7,0.0
26001980,-15.75,-141.21,377.9,0.00,-384.2,538.9,0.0
26001990,-15.79,-141.23,380.3,0.00,-385.7,541.6,0.0
26002000,-15.82,-141.24,382.0,0.00,-387.0,543.7,0.0
26002010,-15.84,-141.33,383.7,0.00,-387.0,545.0,0.0
26002020,-15.86,-141.37,385.1,0.00,-387.6,546.4,0.0
26002030,-15.88,-141.34,385.8,0.00,-388.7,547.6,0.0
26002040,-15.91,-141.48,388.6,0.00,-388.9,549.8,0.0
26002050,-15.94,-141.34,389.3,0.00,-391.4,552.1,0.0
26002060,-15.94,-141.54,390.6,0.00,-389.7,551.7,0.0
26002070,-15.98,-141.53,393.2,0.00,-391.8,555.1,0.0
26002080,-16.02,-141.41,394.1,0.00,-394.3,557.5,0.0
26002090,-16.03,-141.58,396.1,0.00,-393.4,558.2,0.0
26002100,-16.06,-141.65,398.4,0.00,-394.3,560.5,0.0
26002110,-16.08,-141.66,399.5,0.00,-395.0,561.8,0.0
26002120,-16.08,-141.70,399.8,0.00,-394.8,561.9,0.0
26002130,-16.14,-141.68,402.8,0.00,-397.4,565.8,0.0
26002140,-16.14,-141.69,402.9,0.00,-397.3,565.9,0.0
26002150,-16.17,-141.77,405.4,0.00,-398.2,568.2,0.0
26002160,-16.19,-141.77,406.8,0.00,-399.2,569.9,0.0
26002170,-16.22,-141.83,408.9,0.00,-400.0,572.1,0.0
26002180,-16.26,-141.89,411.5,0.00,-401.2,574.7,0.0
26002190,-16.29,-141.95,413.7,0.00,-402.0,576.8,0.0
26002200,-16.28,-141.99,413.1,0.00,-401.0,575.8,0.0
26002210,-16.31,-141.99,415.3,0.00,-402.7,578.5,0.0
26002220,-16.35,-141.94,417.3,0.00,-405.0,581.5,0.0
26002230,-16.35,-142.04,418.0,0.00,-404.1,581.4,0.0
26002240,-16.38,-141.97,419.3,0.00,-406.2,583.8,0.0
26002250,-16.38,-142.16,420.5,0.00,-404.4,583.4,0.0
26002260,-16.43,-142.09,423.0,0.00,-407.3,587.2,0.0
26002270,-16.47,-142.15,425.7,0.00,-408.5,590.0,0.0
26002280,-16.48,-142.23,427.1,0.00,-408.3,590.9,0.0
26002290,-16.50,-142.22,428.2,0.00,-409.4,592.5,0.0
26002300,-16.50,-142.30,429.1,0.00,-408.9,592.7,0.0
26002310,-16.56,-142.32,432.5,0.00,-411.2,596.7,0.0
26002320,-16.57,-142.33,433.1,0.00,-411.7,597.6,0.0
26002330,-16.56,-142.44,433.8,0.00,-410.4,597.2,0.0
26002340,-16.62,-142.36,436.8,0.00,-414.0,601.9,0.0
26002350,-16.62,-142.52,437.9,0.00,-412.5,601.6,0.0
26002360,-16.66,-142.52,440.3,0.00,-414.2,604.5,0.0
26002370,-16.70,-142.50,442.7,0.00,-416.4,607.8,0.0
26002380,-16.69,-142.51,442.1,0.00,-415.8,606.9,0.0
26002390,-16.72,-142.63,444.9,0.00,-416.2,609.2,0.0
26002400,-16.75,-142.58,446.1,0.00,-417.7,611.1,0.0
26002410,-16.79,-142.69,449.4,0.00,-418.6,614.2,0.0
26002420,-16.78,-142.64,448.4,0.00,-418.7,613.5,0.0
26002430,-16.80,-142.66,450.0,0.00,-419.5,615.3,0.0
26002440,-16.84,-142.88,454.4,0.00,-419.5,618.4,0.0
26002450,-16.86,-142.77,454.6,0.00,-421.4,619.9,0.0
26002460,-16.89,-142.74,456.5,0.00,-423.3,622.5,0.0
26002470,-16.90,-142.91,458.0,0.00,-421.8,622.7,0.0
26002480,-16.92,-142.87,459.1,0.00,-423.3,624.5,0.0
26002490,-16.97,-142.85,462.3,0.00,-426.0,628.6,0.0
26002500,-16.97,-142.83,462.4,0.00,-426.4,629.0,0.0
